Flag,Catalog,Pal,DelPM,NNsep,PMtot,e_PMtot,FeH,Vtot,e_Vtot,Vesc,Infalling,Claim
2,J064257.02+371604.28,,5.13,4.57,49.09,3.6,-0.33,636.86,40.83,551.83,,pHVS
2,J204132.64+152708.00,,34.96,5.67,17.88,4.41,-0.43,1324.12,231.47,538.74,X,pHVS
2,J060306.77+825829.20,,3.38,5.62,56.08,3.72,-0.06,726.94,75.37,545.7,,pHVS
2,J065128.81+830620.38,,6.86,8.92,50.57,3.98,0.08,2008.7,177.08,519.63,X,pHVS
2,J202223.58+143533.38,,3.68,4.17,62.21,4.05,-0.43,1241.64,115.16,585.23,,pHVS
2,J053055.16+624225.68,,16.93,4.7,20.53,4.17,-0.11,694.95,81.54,531.34,X,pHVS
2,J051955.34+622136.19,,2.94,3.87,90.93,4.83,-0.39,1017.83,66.58,557.25,,pHVS
2,J113237.93-072241.78,,13.26,12.62,15.65,5.85,-0.65,633.14,172.39,532.66,,pHVS
2,J064751.76+280407.08,,3.83,4.81,68.27,3.38,-0.29,723.24,78.21,545.02,X,pHVS
2,J065319.11+291712.28,,6.27,6.6,62.01,3.39,-0.34,1068.78,71.09,544.69,X,pHVS
2,J074546.28+172248.30,,22.5,1.36,18.69,3.7,-0.33,613.54,72.82,526.47,X,pHVS
2,J074920.08+175147.75,,21.18,14.21,17.39,6.6,-0.59,705.93,135.81,521.67,,pHVS
2,J073123.11+161628.13,,23.85,4.31,21.49,4.1,-0.66,577.56,56.1,538.25,,pHVS
2,J220204.45+454351.67,,10.33,4.03,63.33,3.54,-0.06,1065,97.33,563.49,,pHVS
2,J215855.40+445204.60,,2.16,4.4,63.72,4.42,-0.14,914.28,84.99,565.88,,pHVS
2,J074344.91+182640.94,,11.14,11.3,49.7,6.38,-0.6,2558.24,347.11,489.28,X,pHVS
2,J192601.70+383506.80,,23.42,4.36,25.56,3.78,-0.27,716.87,81.39,572.41,X,pHVS
2,J070442.41+122720.32,,3.16,3.89,36.36,3.57,-0.23,737.24,55.46,544.49,,pHVS
2,J070500.87+124738.14,,3.23,2.6,45.47,4.45,-0.43,1100.12,113.55,529.47,,pHVS
2,J070537.17+132309.48,,17.94,6.98,17.36,4.36,-0.65,743.61,157.44,506.01,,pHVS
2,J070657.47+122724.97,,8.56,4.1,34.99,4.67,-0.7,709.5,67.95,540.93,X,pHVS
2,J044827.52+221051.07,,29.2,5.53,28.22,4.39,-0.38,724.92,70.09,543.05,X,pHVS
2,J070132.92+124539.10,,22.25,2.26,20.1,3.88,-0.33,781.61,99.06,519.97,,pHVS
2,J070327.47+120225.34,,24.77,3.15,20.62,3.62,-0.42,666.52,66.01,530.37,,pHVS
2,J044753.84-050857.18,,15.6,4.91,22.66,3.83,-0.72,617.02,58.24,538.35,,pHVS
2,J070555.14+133525.75,,14.86,5.05,21.74,3.6,-0.56,804.79,98.92,518.45,X,pHVS
2,J082813.98-052143.88,,20.16,1.77,13.18,3.79,-0.51,633.7,102.34,518.12,,pHVS
2,J070102.98+123754.14,,16.95,4.12,18.04,3.77,-0.53,599.28,62.87,532.6,X,pHVS
2,J045357.17-045059.85,,26.36,5.65,21.03,4.3,-0.63,817.33,105.34,518.75,X,pHVS
