Flag,Catalog,specobjid,iauidentifier,feh,distance,Pal,DelPM,NNsep,PMtot,e_PMtot,FeH,Vtot,e_Vtot,Vesc,Infalling,Claim
2,J064751.76+280407.08,3012948078119380992,J064751.76+280407.08,-0.29,2.5078392028808594,,3.83,4.81,68.27,3.38,-0.29,723.24,78.21,545.02,X,pHVS
2,J065126.35+281237.57,3033200807760652288,J065126.35+281237.57,-0.46,4.715200901031494,,10.68,4.14,44.86,4.28,-0.46,1371.39,115.8,525.95,,pHVS
2,J065128.81+830620.38,2868802653020776448,J065128.81+830620.38,0.08,6.8921027183532715,,6.86,8.92,50.57,3.98,0.08,2008.7,177.08,519.63,X,pHVS
2,J065258.59+292553.47,3033349791586215936,J065258.59+292553.47,-0.38,3.830103635787964,,2.2,3.82,58.05,3.73,-0.38,955.7,93.81,533.13,X,pHVS
2,J065319.11+291712.28,3013079744636807168,J065319.11+291712.28,-0.34,2.542070150375366,,6.27,6.6,62.01,3.39,-0.34,1068.78,71.09,544.69,X,pHVS
2,J065353.13+291842.71,3033345668417611776,J065353.13+291842.71,-0.63,3.5724895000457764,,21.65,5.33,29.2,4.23,-0.63,667.24,64.77,535.35,X,pHVS
2,J065919.68+122028.30,3070405261194717184,J065919.68+122028.30,-0.7,3.2915875911712646,,17.01,5.86,22.24,3.27,-0.7,654.12,54.23,539.26,X,pHVS
2,J070102.98+123754.14,3070449516537735168,J070102.98+123754.14,-0.53,4.079380512237549,,16.95,4.12,18.04,3.77,-0.53,599.28,62.87,532.6,X,pHVS
2,J070103.95+293953.96,3610913639852253184,J070103.95+293953.96,-0.48,3.3839406967163086,,16,7.08,29.76,3.46,-0.48,815.82,64.64,537.05,,pHVS
2,J070126.09+294925.06,3609688234176651264,J070126.09+294925.06,-0.47,2.188556432723999,,1.03,7.12,37.49,4.44,-0.47,666.27,47.95,548.15,,pHVS
2,J070132.92+124539.10,3070460511654012928,J070132.92+124539.10,-0.33,5.720513343811035,,22.25,2.26,20.1,3.88,-0.33,781.61,99.06,519.97,,pHVS
2,J070327.47+120225.34,3070375849258674176,J070327.47+120225.34,-0.42,4.3704023361206055,,24.77,3.15,20.62,3.62,-0.42,666.52,66.01,530.37,,pHVS
2,J070442.41+122720.32,3053482127891916800,J070442.41+122720.32,-0.23,2.709794044494629,,3.16,3.89,36.36,3.57,-0.23,737.24,55.46,544.49,,pHVS
